baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PSPPH_0104	169.301779312023	0.189442285272733	0.248114501035149	0.763527663568103	0.445148770781748	0.689462979861963
PSPPH_0105	47.934451693252	0.128465218537588	0.44598569871163	0.288047843033309	0.773310116443069	0.89336433226554
PSPPH_0106	30.3933720239515	0.538003992764651	0.601274575838611	0.894772562126521	0.370908680445953	0.628962905606632
PSPPH_0107	102.121879981968	0.762571276527308	0.318168484513924	2.39675302125637	0.0165410688409627	0.0834572109703119
PSPPH_0108	59.1636443047545	0.775707960602182	0.411623093505845	1.88451030284861	0.059495982520436	0.209375558037571
PSPPH_0109	5.63521268016323	0.0104509129664114	1.25191650073972	0.00834793131988937	0.993339391846004	NA
PSPPH_0110	12.3666087862972	-0.565657283526534	0.870244230963236	-0.649998314726467	0.515693310205865	NA
PSPPH_0111	5.77763577615388	-1.0056203616631	1.21963407286169	-0.824526293614905	0.409640582040815	NA
PSPPH_0112	10.7060958028582	0.38901877051493	0.976954579920884	0.398195349620484	0.69048619361729	NA
PSPPH_0113	1.67705819679911	-0.753064197264753	2.22399701683978	-0.338608456559367	0.734904711166283	NA
PSPPH_0114	0	NA	NA	NA	NA	NA
PSPPH_0115	6.69056909711083	2.54927691501308	1.46469706274707	1.74048066310167	0.0817746525822048	NA
PSPPH_0116	16.1118266052003	1.23381186914635	0.825269976899357	1.495040294307	0.134903926370343	0.355013389548888
PSPPH_0117	36.9945639670143	1.62180445376103	0.581389939311223	2.78952961532564	0.00527846686563981	0.034635063374543
PSPPH_0118	2.57938768765467	3.82540266689225	2.23008684414916	1.71536040263569	0.0862791705280872	NA
PSPPH_0119	0.839166710994927	0.143036546069229	3.09018088403722	0.0462874347608922	0.963081154183912	NA
PSPPH_0121	38.1561894743253	1.36151536532442	0.541681825407471	2.51349648716799	0.0119540968436358	0.0640758832825869
PSPPH_0122	404.929295114211	0.946482009422911	0.185446916866623	5.10378940461781	0.000000332918747403177	0.00000912377746188084
PSPPH_0123	36.7319398237233	1.05455330505329	0.52702024636823	2.00097304101762	0.0453952952348762	0.171536264547107
PSPPH_0124	15.0557179698514	1.80248177482377	0.904187997078506	1.99348120152857	0.0462087799922635	0.173870324716652
PSPPH_0125	81.2235250643564	1.53888056417276	0.391178243554521	3.93396255934227	0.0000835568045628343	0.00108583086514825
PSPPH_0126	14.1959023756944	2.30129506978486	0.975750155278246	2.35848803849651	0.0183495511391512	NA
PSPPH_0127	48.5123077122111	1.3107754777254	0.507885237213816	2.58084973077012	0.00985574716498332	0.0548135917484667
PSPPH_0128	14.412772515191	1.18112543901011	0.865861970595186	1.36410360902929	0.172534959077914	NA
clpB1	80.1783866838171	1.6653007114337	0.382105136898874	4.35822644246321	0.0000131120681509024	0.000214297850024565
PSPPH_0130	13.4332494668901	-0.589531833762469	0.840134122603865	-0.701711569499531	0.482859056411998	NA
PSPPH_0131	42.5883025970192	0.907576083778626	0.500395927597137	1.81371596714773	0.0697214655534752	0.235299890891582
PSPPH_0132	21.2475302261532	1.78456661173689	0.745679981143333	2.39320708194507	0.0167018115130867	0.0839502374921943
PSPPH_0133	260.137413035046	1.04312272439314	0.223537165555254	4.66643979224701	0.00000306463389689589	0.0000600307698627255
PSPPH_0134	90.6319391666963	1.13459777295303	0.347071887282494	3.26905697213541	0.00107906572107058	0.00948723129020468
PSPPH_0135	45.6549215605032	0.175774873835261	0.454714122297511	0.386561281508329	0.699081026583273	0.860606217568318
PSPPH_0136	4.85135473335346	1.15068581946407	1.46877237323715	0.783433730393485	0.433372455072648	NA
PSPPH_0138	43.0043559393325	1.17285778379315	1.16963940930304	1.00275159546139	0.315980728793372	0.579334247422947
PSPPH_0139	100.538881332168	0.590781173489843	0.32296854987199	1.82922198995537	0.0673663594915795	0.228616537179067
fdhD	14.3263941669045	0.0363375598324784	0.819171730263418	0.0443589036218248	0.964618319541166	NA
PSPPH_0141	32.9191936294262	1.43033170782645	0.577169506825249	2.47818308298035	0.0132053365449094	0.0696614189220566
PSPPH_0142	21.6597649046062	0.674273893283009	0.684112323402642	0.985618691868174	0.324320262104199	0.584820293419641
PSPPH_0143	18.0841714746437	0.71504215798701	0.756758892500329	0.944874470684465	0.344722966438076	0.601911808086522
cysQ	24.8992516646132	0.469464815877461	0.624399534091533	0.751866057300165	0.452131612090056	0.693824086755708
PSPPH_0145	11.9208423374558	0.833459627649896	0.904640691529101	0.921315651014008	0.356885652173367	NA
PSPPH_0146	33.5677045751119	0.735247348031617	0.540741115370697	1.35970305777022	0.173923910113394	0.413690443341145
PSPPH_0147	34.8263814234709	-0.319984696370575	0.531267625385643	-0.602304151581419	0.546971697853629	0.762996172400893
PSPPH_0148	0.192774773482306	0.115566906008363	4.92095527423604	0.0234846487253034	0.981263683651478	NA
rfbC	34.6615696288651	0.975203392965035	0.553309015523892	1.76249322820391	0.0779859995211006	0.248510409957191
rfbB1	79.080438418275	0.560864455009046	0.36224953386839	1.54828206131748	0.121554401483043	0.335565725959405
PSPPH_0152	58.3625051610656	1.26506145893544	0.428619631404675	2.95147810843282	0.00316256963550607	0.0227240559337758
PSPPH_0153	50.7256924942201	2.26345309283905	0.507141040612627	4.46316293018761	0.00000807585969113546	0.000137910834725544
PSPPH_0154	49.2694695268381	-2.54148740300712	0.444792457079404	-5.71387253213562	0.0000000110433732372306	0.000000403007483616195
PSPPH_0155	115.380762883655	-1.49022487775003	0.29079921617148	-5.12458354382656	0.000000298196108595008	0.00000836204666628527
PSPPH_0156	9.1869171198678	-1.12256426168841	0.972544373967159	-1.15425505687652	0.248395616353373	NA
PSPPH_0157	5.70461107239466	-0.659952904778158	1.3038803307377	-0.506145302770827	0.612754649593514	NA
PSPPH_0158	4.53123078849204	0.204348158030966	1.43621964135725	0.142281968681234	0.886857288527744	NA
relB	3.81175859724522	1.94242770933729	1.74916009884871	1.11049166432266	0.266787218113885	NA
relE	8.95291990976005	-1.50233391205394	1.00295319555186	-1.49791029004829	0.134156559830309	NA
PSPPH_0161	1.44192957557008	1.26864915710848	2.52278537228976	0.502876372696348	0.61505119376707	NA
PSPPH_0162	0	NA	NA	NA	NA	NA
PSPPH_0163	0.741504099063031	-3.82793684684189	3.92899685327454	-0.974278420114179	0.329918316514381	NA
PSPPH_0164	47.9264795659146	0.80715864991933	0.478717059285671	1.68608708267834	0.0917790276210129	0.27721012424306
PSPPH_0165	42.4160851421179	0.839112432821202	0.494509767094082	1.69685714753852	0.0897236713570166	0.2725471613399
PSPPH_0166	0.988312411539759	2.44367186948231	3.09229673716318	0.790244946454943	0.429384731587255	NA
PSPPH_0167	9.69476718693699	-0.22440395905521	0.979676556599357	-0.229059231379547	0.818822879705339	NA
PSPPH_0169	0.0963873867411528	-0.665408379663276	4.98020137814692	-0.133610737626611	0.893710392928077	NA
PSPPH_0170	0.525566006643237	-1.17341262057008	4.06195870792034	-0.288878520178469	0.772674341699933	NA
hopR1	35.8289402115223	0.345341124149151	0.520028363458336	0.664081324050356	0.506638262613861	0.730348664287515
PSPPH_5226	4.33865537905419	1.23409564232036	1.79384835085622	0.687959849967982	0.491478065416433	NA
PSPPH_0173	20.9858969804005	-0.502072165509296	0.690421175959547	-0.727196938609995	0.467105321330286	0.704390622068655
PSPPH_0174	11.0348619964025	-0.598560071606505	0.903598508713917	-0.662418171161471	0.507703261337316	NA
PSPPH_0175	1.79391133754025	-0.497392626312135	2.21733965384185	-0.224319546827358	0.822508667559802	NA
PSPPH_0176	0.952337990233299	2.38189142375255	3.12216178175315	0.762898142457907	0.445524144105432	NA
PSPPH_0177	14.5215395620928	-0.300084058084902	0.821492461957893	-0.365291310610082	0.714893964048684	NA
PSPPH_0178	5.65842824858915	1.44253238246901	1.39734091787228	1.03234104434982	0.301912379789292	NA
PSPPH_0179	347.111925426757	0.0719038954440848	0.184380781634206	0.389975000684915	0.696555032895891	0.85828982776811
PSPPH_0180	476.20824629712	0.328437850543137	0.168682712420926	1.94707475253044	0.0515257733783008	0.189069779999715
PSPPH_0181	137.810657297545	0.141638928891258	0.273400591932541	0.518063724332411	0.604413809032483	0.799083263102916
PSPPH_0182	10.3297670613408	0.505786458478968	0.954013392490888	0.530167042161097	0.595996119666173	NA
PSPPH_0184	27.4906040494572	-0.757964260310373	0.603822060516193	-1.2552775227563	0.209378031853647	0.457199243326325
PSPPH_0185	0.971528519042541	0.505534825770789	2.94230507659569	0.171815910522679	0.863582256749981	NA
PSPPH_0186	8.17896912462535	3.890189050229	1.6029356925712	2.42691523325487	0.0152278133270896	NA
PSPPH_0187	7.81751494367505	0.837374753359735	1.11485278475476	0.751107917395512	0.452587711244689	NA
PSPPH_0188	68.0559066472589	-0.129902172833135	0.396220116631037	-0.327853552559777	0.743022394002052	0.878275961919394
recG	50.1082228080309	0.438319789322255	0.4425032749983	0.99054586505363	0.321907382810371	0.584567805321736
oxyR	37.6084999952848	1.31339856657429	0.539906794545462	2.43263944785139	0.0149892184566875	0.0775364620749817
tonB1	2.62301676059214	2.31038525628927	2.08766117795929	1.10668593193255	0.268429739805306	NA
exbD1	1.007502940349	0.59949945201059	3.14753560653979	0.190466297113519	0.848943750742722	NA
exbB1	9.28619813510435	0.662367020440985	1.03198804434557	0.641835943807878	0.520979708917027	NA
PSPPH_0194	14.6014666990817	0.881796568062204	1.89161021001288	0.466161878062712	0.641099634330756	NA
PSPPH_0195	61.1074013117524	0.282097306009659	0.400008423266553	0.705228414206864	0.480668101306533	0.713195916336639
PSPPH_0196	40.8393581192941	0.161072423788624	0.487848025127329	0.330169264796314	0.741272068982104	0.878275961919394
spoT	178.765281090871	-0.622286666576414	0.235555068530926	-2.64178848053407	0.00824695417813008	0.0475538656505163
rpoZ	85.6234518935408	-0.431304400712357	0.337498328472725	-1.27794529431932	0.20126871592707	0.446816549358096
gmk	61.4867545614388	0.29802670246131	0.402827067779559	0.739837826946626	0.459398403366986	0.700285213464175
PSPPH_0200	47.4729838140328	-0.183847380267369	0.440605873475193	-0.417260393778478	0.676487954825708	0.845891591054916
rph	43.0630659485935	0.254300314791407	0.471815461204744	0.538982580481934	0.589898874220598	0.790166863677289
