gene655	54	34	20
gene656	4	2	2
gene657	2	0	2
gene658	0	0	0
gene659	7	4	3
gene660	9	4	5
gene662	5	0	5
gene663	10	6	4
gene664	1	0	1
gene665	6	3	3
gene666	2	1	1
gene667	62	33	29
gene668	6	3	3
gene669	5	8	3
gene670	14	7	13
gene671	13	6	7
gene672	66	32	34
gene673	158	82	76
gene674	303	158	145
gene675	55	30	31
gene676	3	3	7
gene677	37	17	21
gene678	74	36	38
gene679	123	46	77
gene680	49	28	21
gene681	52	30	22
gene682	29	14	15
gene683	25	16	9
gene684	224	138	86
gene685	30	16	14
gene686	202	108	94
gene687	161	84	78
gene688	220	103	118
gene694	61	35	26
gene695	56	32	24
gene696	28	9	19
gene697	4	1	3
gene698	20	16	4
gene699	0	0	0
gene700	32	10	22
gene701	72	35	39
gene702	3	3	2
gene703	6	4	2
gene704	4	2	2
gene705	16	9	7
gene706	43	17	26
gene708	5	5	0
gene709	3	1	2
gene710	9	2	7
gene711	23	16	8
gene712	125	57	70
gene713	255	134	122
gene714	100	49	51
gene715	155	84	71
gene716	247	126	121
gene717	48	28	20
gene718	71	33	38
gene719	36	16	20
gene720	147	67	80
gene721	944	464	480
gene722	69	34	35
gene723	77	36	41
gene724	117	75	66
gene725	14	18	22
gene726	20	11	11
gene727	13	5	8
gene728	18	12	6
gene729	5	4	1
gene730	87	52	35
gene731	29	12	17
gene732	77	38	46
gene733	28	16	19
gene734	7	5	2
gene735	27	12	15
gene736	39	19	20
gene737	13	9	4
gene738	7	3	4
gene739	262	132	130
gene740	99	58	41
gene741	32	20	12
gene742	2384	1216	1168
gene747	21	8	13
gene748	1	0	1
gene749	2	0	2
gene750	2	1	1
gene751	29	17	12
gene752	12	8	4
gene753	18	10	8
gene755	44	24	20
gene756	124	61	63
gene757	17	10	7
gene758	28	10	18
gene759	3	2	1
gene760	3	3	0
gene761	3	2	1
gene762	49	26	23
gene763	118	60	58
gene764	47	25	22
gene765	85	53	32
gene766	18	6	12
gene768	50	18	32
gene769	4	2	2
gene770	3	0	3
gene771	29	17	12
gene772	2	0	2
gene773	0	0	0
gene775	3	1	2
gene776	6	2	4
gene777	0	0	0
gene778	1	1	0
gene779	118	58	60
gene781	246	130	116
gene782	367	193	174
gene783	47	19	28
gene784	6	1	5
gene785	5	4	1
gene787	1	0	1
gene788	2	1	1
gene789	2	2	0
gene791	14	5	9
gene792	6	4	2
gene793	1	1	0
gene794	8	4	4
gene795	9	4	5
gene796	3	1	2
gene797	15	8	7
gene798	2	3	0
gene799	4	3	2
gene800	2	2	0
gene801	6	3	3
gene802	1	1	0
gene803	8	2	6
gene804	14	4	10
gene805	36	20	16
gene806	18	9	9
gene807	4	1	3
gene808	10	6	4
gene809	14	8	6
gene810	274	134	140
gene811	20	12	8
gene812	44	18	26
