Gene	WT-1	WT-2	rhpS-1	rhpS-2
lolE	54	84	25	10
PSPPH_1862	61	96	34	10
PSPPH_1863	18	23	11	5
PSPPH_1864	5	12	1	1
PSPPH_1865	97	150	38	15
PSPPH_1866	75	87	27	12
PSPPH_1867	129	184	152	57
PSPPH_1868	59	50	47	19
tal	215	364	76	37
PSPPH_1870	15	23	12	3
PSPPH_1871	42	51	8	4
PSPPH_1872	16	22	6	4
PSPPH_1873	16	13	9	1
PSPPH_1874	26	47	11	7
PSPPH_1875	2	11	2	0
PSPPH_1876	89	122	24	12
PSPPH_1878	4	3	5	0
PSPPH_1880	4	6	3	2
PSPPH_1881	0	10	0	0
PSPPH_1882	4	10	0	0
PSPPH_1883	5	16	3	1
PSPPH_1885	223	315	85	36
PSPPH_1886	298	464	65	43
PSPPH_1887	0	0	0	0
PSPPH_1888	0	13	3	1
PSPPH_1889	0	4	0	0
PSPPH_1890	2	4	1	0
PSPPH_1891	2	5	0	0
PSPPH_1892	0	7	0	0
PSPPH_1893	4	5	0	1
PSPPH_1894	6	22	3	2
PSPPH_1895	1	8	1	1
PSPPH_1896	105	312	27	18
PSPPH_1897	120	204	33	11
PSPPH_1898	41	92	41	11
mdoG2	7	31	17	5
PSPPH_1900	5	25	2	3
PSPPH_1901	5	32	8	6
PSPPH_1902	1	4	0	0
PSPPH_1903	129	181	133	57
PSPPH_1904	46	54	42	15
PSPPH_1905	31	64	44	12
PSPPH_1906	7	17	3	3
PSPPH_1907	11	18	6	3
PSPPH_1908	2	6	0	1
PSPPH_1909	0	5	1	0
PSPPH_1910	3	1	1	0
PSPPH_1911	26	88	10	2
PSPPH_1912	4	10	5	0
PSPPH_1913	5	7	10	0
PSPPH_1914	1	5	1	0
PSPPH_1915	0	8	0	0
PSPPH_1916	0	6	0	3
PSPPH_1917	0	9	0	0
PSPPH_1918	0	8	1	0
PSPPH_1919	0	2	0	0
PSPPH_1920	0	6	1	0
PSPPH_1921	0	8	3	0
PSPPH_1922	1	13	3	0
PSPPH_1923	4	18	0	2
PSPPH_1924	16	51	12	3
PSPPH_1925	18	48	3	2
PSPPH_1926	27	84	4	3
PSPPH_1927	15	34	8	1
PSPPH_1928	6	16	2	1
PSPPH_1929	5	15	2	1
PSPPH_1930	0	4	3	0
PSPPH_1931	2	8	1	0
PSPPH_1932	1	10	1	2
PSPPH_1933	16	22	4	0
PSPPH_1934	4	9	1	2
macB	2	9	1	0
PSPPH_1936	0	7	1	0
PSPPH_1937	2	19	1	2
PSPPH_1938	1	13	4	3
aspC	325	399	145	81
PSPPH_1940	1	2	1	1
uvrB	597	890	243	74
gltX	315	343	93	39
PSPPH_1947	17	19	14	3
PSPPH_1948	24	37	15	7
PSPPH_1949	355	464	143	64
PSPPH_1950	46	72	36	9
PSPPH_1951	9	23	7	2
leuC	144	242	58	36
leuD	59	79	14	3
leuB	127	151	36	32
asd	274	401	104	50
dgoK	108	134	31	8
eda2	71	62	9	4
dgoD	144	196	19	8
PSPPH_1959	23	47	5	0
PSPPH_1960	18	35	8	2
PSPPH_1961	57	111	17	13
PSPPH_1962	69	77	15	5
PSPPH_1963	569	735	84	35
etfB	406	620	167	65
etfA	532	700	155	53
PSPPH_1966	88	152	65	22
PSPPH_1967	53	73	30	28
PSPPH_1968	103	103	54	22
PSPPH_1969	60	55	16	7
PSPPH_1970	14	20	6	3
PSPPH_1971	18	23	28	14
PSPPH_1972	30	58	25	14
PSPPH_1973	9	9	7	1
gltA	791	1192	513	204
PSPPH_1975	0	5	0	0
sdhC	188	249	86	38
sdhD	100	143	49	16
sdhA	866	1345	237	98
sdhB	454	771	274	123
sucA	1797	2747	736	359
sucB	599	885	244	139
lpdA	1015	1649	528	246
sucC	1924	3115	672	292
sucD	1097	1634	294	145
brnQ	35	32	13	7
PSPPH_1986	51	56	36	13
htpG	5208	7300	847	388
PSPPH_1988	527	637	135	62
fabB	401	547	208	75
fabA	180	232	162	73
PSPPH_1992	0	2	0	0
gpsA	81	101	28	12
PSPPH_1995	18	22	10	2
sixA	27	38	15	9
PSPPH_1997	36	39	21	9
PSPPH_1998	45	76	44	13
PSPPH_1999	33	39	13	4
PSPPH_2000	45	37	19	6
PSPPH_2001	101	128	61	29
PSPPH_2002	26	30	541	213
PSPPH_2003	15	33	57	28
PSPPH_2004	49	81	535	233
PSPPH_2005	7	21	7	2
PSPPH_2006	0	0	0	0
PSPPH_2007	14	21	7	4
PSPPH_2009	8	30	6	1
PSPPH_2010	9	11	8	4
PSPPH_2011	24	65	6	8
PSPPH_2012	2	12	6	2
fimA	14	18	9	1
PSPPH_2014	1	0	1	0
PSPPH_2015	0	7	1	0
PSPPH_2016	0	2	0	0
kdpA	4	12	1	1
kdpB	6	17	0	0
PSPPH_2019	1	2	0	0
kdpC	0	5	0	0
kdpD	56	92	35	15
kdpE	19	15	12	4
PSPPH_2023	30	42	22	6
PSPPH_2024	63	73	35	20
PSPPH_2025	40	55	18	6
PSPPH_2026	41	49	20	7
PSPPH_2027	21	35	20	13
PSPPH_2028	79	109	30	14
PSPPH_2029	25	41	15	0
PSPPH_2030	58	72	51	17
tatD	37	50	17	6
PSPPH_2032	21	38	17	12
PSPPH_2035	14	22	12	3
greB1	15	29	19	9
PSPPH_2037	89	129	14	8
PSPPH_2038	23	44	10	5
PSPPH_2039	40	59	14	12
PSPPH_2040	16	17	3	4
PSPPH_2041	235	278	154	39
oprI	2350	2942	315	128
PSPPH_2043	36	38	31	11
PSPPH_2044	243	363	96	47
panE1	73	104	21	14
PSPPH_2046	62	84	9	7
PSPPH_2047	31	29	30	11
cysB	122	184	73	25
PSPPH_2049	53	100	17	8
thrH	41	46	22	9
pabB	36	34	13	6
PSPPH_2052	15	25	20	4
PSPPH_2053	37	52	28	14
PSPPH_2054	7	16	16	3
PSPPH_2055	90	92	22	9
prpB	276	374	46	18
prpC	221	306	26	12
acnD	380	452	46	32
prpF	163	177	30	23
PSPPH_2060	46	62	41	14
ppsA	661	891	273	138
PSPPH_2062	74	96	66	24
PSPPH_2063	42	60	28	10
PSPPH_2064	44	82	42	16
PSPPH_2065	9	13	37	14
PSPPH_2066	63	101	174	60
PSPPH_2067	214	265	226	122
PSPPH_2068	6154	9094	1910	900
cobA	5	16	2	0
PSPPH_2070	7	25	7	0
PSPPH_2071	7	19	2	0
PSPPH_2072	7	17	4	0
PSPPH_2073	0	15	2	1
PSPPH_2074	6	21	11	3
nasT	3	11	2	0
PSPPH_2076	19	41	11	1
pyrD	66	115	49	22
rmf	87	124	167	58
PSPPH_2079	167	206	53	21
PSPPH_2080	17	42	4	6
dacB	50	96	43	31
PSPPH_2082	13	38	33	8
PSPPH_2083	1	12	2	1
PSPPH_2084	2	12	1	2
PSPPH_2085	0	2	0	0
PSPPH_2086	2	4	1	1
PSPPH_2087	1	8	1	0
PSPPH_2088	27	51	9	7
PSPPH_2089	11	20	10	1
PSPPH_2090	7	11	3	0
PSPPH_2091	13	26	8	8
PSPPH_2092	0	1	1	0
PSPPH_2093	9	18	16	11
PSPPH_2094	9	9	12	3
pcaQ	44	44	23	7
pcaH	21	36	8	1
pcaG	13	19	2	1
pcaK	25	25	4	1
pcaB	49	75	10	6
pcaC1	25	38	10	3
PSPPH_2101	30	45	10	4
PSPPH_2102	30	34	22	5
PSPPH_2103	4	7	2	0
PSPPH_2104	16	28	6	6
PSPPH_2105	82	155	33	11
PSPPH_2106	9	27	5	4
PSPPH_2107	5	16	4	1
PSPPH_2108	19	39	13	2
PSPPH_2109	204	206	72	24
mobA	42	67	11	10
moaB	65	76	21	8
moeA	86	123	13	12
PSPPH_2113	70	71	62	30
PSPPH_2114	88	114	62	12
PSPPH_2115	6	16	7	1
PSPPH_2116	17	46	11	3
PSPPH_2117	68	91	78	18
PSPPH_2118	37	91	17	9
PSPPH_2119	15	19	6	2
map1	23	48	15	2
PSPPH_2121	4	11	6	1
endA	42	56	6	5
PSPPH_2123	11	21	2	4
PSPPH_2124	17	25	20	9
rbsB	50	62	17	2
rbsA	45	79	13	4
rbsC	36	47	7	3
rbsR	22	50	5	2
rbsK	46	69	5	3
PSPPH_2130	32	52	16	4
PSPPH_2131	202	307	62	18
PSPPH_2132	18	22	3	3
capA	119	144	109	42
PSPPH_2134	88	117	45	19
thrS	466	665	278	110
infC	813	1144	434	212
rpmI	116	251	59	35
rplT	251	534	127	53
pheS	151	224	106	39
pheT	272	427	66	52
ihfA	52	92	50	40
PSPPH_2142	40	49	35	18
PSPPH_2144	4	9	3	0
PSPPH_2145	17	14	5	5
PSPPH_2146	0	6	0	0
PSPPH_2147	6	4	3	0
PSPPH_2148	2	0	0	0
PSPPH_2149	0	6	0	0
PSPPH_2150	0	17	4	1
PSPPH_2151	45	51	27	10
PSPPH_2152	4	15	2	0
PSPPH_2153	3	3	1	0
PSPPH_2154	2	15	0	1
PSPPH_2155	0	2	0	0
PSPPH_2156	2	5	7	2
PSPPH_2158	33	28	16	3
PSPPH_2159	11	36	9	5
PSPPH_2160	11	17	9	9
PSPPH_2161	7	12	4	5
PSPPH_2162	10	22	6	2
PSPPH_2163	21	28	9	0
PSPPH_2164	4	7	2	0
PSPPH_2165	4	9	4	0
PSPPH_2166	3	12	3	1
PSPPH_2167	0	10	0	0
PSPPH_2168	3	16	2	0
PSPPH_2170	2	0	0	0
PSPPH_2172	2	12	2	0
PSPPH_2173	0	5	3	0
gspH2	2	6	0	0
PSPPH_2175	4	6	1	2
gspI2	2	6	4	0
gspG2	2	7	7	0
PSPPH_2179	3	13	3	1
PSPPH_2180	0	6	0	0
gspD2	3	23	2	0
gspE2	6	23	3	3
gspF2	6	10	0	1
PSPPH_2185	191	244	174	52
PSPPH_2186	188	286	149	48
PSPPH_2187	9	29	13	4
PSPPH_2188	3	17	2	1
PSPPH_2189	0	7	1	0
PSPPH_2190	1	1	1	0
PSPPH_2191	9	15	2	3
PSPPH_2192	3	11	1	1
PSPPH_2193	18	16	4	5
PSPPH_2194	2	9	8	1
PSPPH_2195	37	45	26	14
PSPPH_2196	79	106	52	19
PSPPH_2198	25	39	16	6
prt	95	146	53	15
PSPPH_2200	28	35	25	5
PSPPH_2201	21	29	6	6
PSPPH_2202	10	25	11	5
PSPPH_2203	21	48	28	8
PSPPH_2204	19	24	18	9
PSPPH_2205	56	95	21	13
PSPPH_2206	10	14	3	0
PSPPH_2207	13	20	12	2
PSPPH_2208	5	12	2	0
phbA2	28	41	22	8
PSPPH_2210	24	35	7	3
PSPPH_2211	18	40	14	3
PSPPH_2212	181	220	107	50
PSPPH_2213	37	61	21	13
PSPPH_2214	3	6	4	2
PSPPH_2215	6	19	1	0
PSPPH_2216	67	94	47	12
PSPPH_2218	1	12	3	1
PSPPH_2219	2	8	5	1
PSPPH_2220	326	452	200	58
cobM	35	41	28	4
PSPPH_2222	13	17	1	1
PSPPH_2223	56	93	14	4
PSPPH_2224	58	99	18	2
cobN	84	171	10	1
bchI	34	51	2	2
PSPPH_2227	18	23	13	3
PSPPH_2228	53	79	107	54
PSPPH_2229	9	26	24	13
PSPPH_2230	4	6	2	2
PSPPH_2231	9	18	6	2
PSPPH_2232	68	91	63	21
PSPPH_2233	6	11	4	3
PSPPH_2234	5	12	2	1
catD2	32	49	13	7
PSPPH_2236	12	14	5	3
PSPPH_2237	52	69	17	11
PSPPH_2238	19	35	24	10
PSPPH_2239	6	11	0	1
PSPPH_2240	1	4	3	3
PSPPH_2241	4	15	3	3
PSPPH_2242	3	20	4	3
glgX	109	185	55	16
PSPPH_2244	46	67	17	7
treY	22	47	41	21
malQ	30	44	19	11
treZ	33	44	27	11
glgA	21	62	56	29
PSPPH_2249	30	62	23	14
PSPPH_2250	53	49	66	24
PSPPH_2251	150	250	84	47
PSPPH_2253	68	72	25	6
alkB	23	38	18	6
PSPPH_2256	2	8	5	0
PSPPH_2257	37	33	13	13
PSPPH_2258	37	61	24	16
PSPPH_2259	17	25	7	7
galU	485	659	145	100
gor	222	305	68	26
PSPPH_2262	25	37	25	8
PSPPH_2263	20	34	3	0
PSPPH_2264	66	81	35	21
ahpC	337	450	250	112
ahpF	144	165	55	32
gloA	66	88	32	7
PSPPH_2268	26	40	17	4
PSPPH_2269	78	106	21	6
PSPPH_2270	18	19	7	5
PSPPH_2271	5	18	3	2
mexF	15	43	7	2
mexE	7	14	5	1
PSPPH_2274	5	25	7	0
glnQ2	3	11	2	0
PSPPH_2276	0	11	2	0
PSPPH_2277	5	18	2	0
PSPPH_2278	7	25	0	1
PSPPH_2279	10	18	3	4
PSPPH_2280	0	11	0	0
PSPPH_2281	1	14	0	0
PSPPH_2282	7	49	2	1
PSPPH_2283	21	89	17	15
PSPPH_2285	1	13	0	0
PSPPH_2287	1	2	0	0
PSPPH_2288	0	0	0	0
PSPPH_2289	0	0	1	0
PSPPH_2290	7	19	0	2
PSPPH_2291	2	4	0	0
nikB	1	9	1	0
PSPPH_2293	7	22	5	1
PSPPH_2295	25	36	15	4
PSPPH_2296	36	37	11	7
PSPPH_2297	4	2	1	0
PSPPH_2298	5	12	4	1
PSPPH_2299	12	22	3	3
PSPPH_2300	11	25	9	6
PSPPH_2301	6	8	2	0
PSPPH_2302	9	18	18	0
PSPPH_2303	23	42	21	5
PSPPH_2305	15	25	6	2
PSPPH_2306	6	14	1	1
PSPPH_2307	39	37	16	5
PSPPH_2308	4	4	0	0
mexT	41	62	44	17
PSPPH_2310	62	128	43	12
PSPPH_2311	23	59	14	4
PSPPH_2312	0	0	0	0
PSPPH_2313	3	11	0	4
PSPPH_2314	5	20	1	2
PSPPH_2315	5	18	0	0
PSPPH_2316	12	28	6	2
pgm	152	213	39	24
ppiC1	9	14	7	6
PSPPH_2319	67	80	43	23
PSPPH_2320	39	38	14	7
PSPPH_2321	3	9	2	2
PSPPH_2322	5	19	1	2
PSPPH_2323	27	26	14	10
ppiC2	30	27	17	8
PSPPH_2325	63	77	24	4
PSPPH_2326	16	20	11	6
PSPPH_2327	19	26	5	10
gacA	74	97	46	16
uvrC	95	140	29	13
pgsA	32	37	23	6
PSPPH_2332	1	7	3	1
PSPPH_2333	3	14	2	0
PSPPH_2334	0	0	0	0
PSPPH_2335	2	9	0	2
PSPPH_2336	0	9	1	0
PSPPH_2337	80	120	87	50
PSPPH_2338	12	26	6	7
PSPPH_2339	1	18	5	4
PSPPH_2340	0	4	0	0
PSPPH_2341	2	25	2	2
PSPPH_2342	3	18	3	1
PSPPH_2343	2	5	2	1
PSPPH_2344	14	21	6	0
PSPPH_2346	7	13	2	0
PSPPH_2347	2	10	1	0
PSPPH_2349	10	23	6	2
hopV1	10	18	5	6
PSPPH_2350	0	0	0	0
shcV	5	9	4	1
xylH	5	16	6	0
xylG	2	12	3	1
xylA	5	24	8	2
xylR	3	17	1	3
PSPPH_2358	2	16	1	0
PSPPH_2359	1	8	2	0
PSPPH_2360	55	73	20	13
PSPPH_2361	2	12	4	0
PSPPH_2362	4	12	1	0
PSPPH_2363	1	12	0	1
PSPPH_2364	3	12	2	0
PSPPH_2365	2	3	1	3
PSPPH_2366	12	34	4	1
PSPPH_2367	5	12	1	0
PSPPH_2368	0	6	0	0
PSPPH_2369	0	5	0	1
PSPPH_2370	2	5	0	0
PSPPH_2371	10	23	3	1
PSPPH_2372	2	8	0	0
PSPPH_2373	3	5	0	0
PSPPH_2374	2	4	0	0
PSPPH_2375	1	5	4	0
baeS1	3	10	3	2
baeS2	4	13	8	1
PSPPH_2378	1	11	1	0
PSPPH_2379	1	25	2	0
PSPPH_2380	5	19	4	0
PSPPH_2381	64	115	27	13
PSPPH_2383	7	23	22	13
PSPPH_2384	13	29	23	9
PSPPH_2385	5	16	18	4
PSPPH_2386	0	4	3	0
PSPPH_2387	0	0	0	0
PSPPH_2388	2	6	2	0
PSPPH_2389	28	35	21	4
PSPPH_2390	4	18	1	1
PSPPH_2391	150	185	91	45
PSPPH_2392	111	181	41	7
PSPPH_2393	0	8	1	0
PSPPH_2394	1	9	0	0
PSPPH_2395	0	2	1	0
PSPPH_2396	0	4	0	0
PSPPH_2397	0	5	0	0
PSPPH_2398	2	0	0	0
PSPPH_2399	12	17	2	1
PSPPH_2400	0	3	5	5
PSPPH_2402	28	34	15	10
modC	89	142	51	18
modB	87	129	44	14
modA	377	523	160	69
PSPPH_2406	35	50	17	5
PSPPH_2407	14	9	8	2
PSPPH_2408	34	52	10	4
PSPPH_2409	8	16	4	0
PSPPH_2410	19	46	19	3
PSPPH_2411	2	6	0	1
mets	3	14	1	0
PSPPH_2413	0	17	2	0
PSPPH_2414	3	6	0	0
PSPPH_2415	1	16	1	1
PSPPH_2416	5	21	1	0
PSPPH_2417	4	11	0	0
rhtC	1	6	0	0
PSPPH_2419	6	24	2	0
PSPPH_2420	4	12	5	2
PSPPH_2421	17	34	12	4
PSPPH_2422	5	7	5	1
PSPPH_2423	0	3	1	0
PSPPH_2424	1	4	0	0
treS	36	50	11	6
PSPPH_2426	38	68	9	8
xylC	7	27	6	0
PSPPH_2428	4	13	1	0
PSPPH_2429	3	12	5	2
PSPPH_2430	3	13	0	3
PSPPH_2432	12	30	13	4
PSPPH_2433	15	31	12	3
vdh	30	34	9	1
fcs	19	17	1	2
PSPPH_2436	14	17	3	0
PSPPH_2437	9	21	12	7
PSPPH_2438	2	13	8	3
PSPPH_2439	23	28	14	4
PSPPH_2440	14	27	9	5
PSPPH_2441	0	2	0	0
PSPPH_2442	4	8	2	2
PSPPH_2443	1	12	0	0
PSPPH_2444	18	23	11	7
PSPPH_2445	14	19	12	13
PSPPH_2446	9	13	17	3
PSPPH_2447	10	13	6	6
PSPPH_2448	21	23	4	0
PSPPH_2450	4	1	0	0
oprE	4	17	6	1
PSPPH_2452	1	14	0	0
aspB	0	12	1	0
PSPPH_2454	0	5	4	0
accB1	0	3	0	0
accC1	2	17	1	0
PSPPH_2457	1	10	1	0
PSPPH_2458	1	7	1	1
PSPPH_2459	1	3	0	0
PSPPH_2460	4	11	2	0
PSPPH_2461	8	18	4	2
PSPPH_2462	3	6	2	1
PSPPH_2463	0	1	1	0
PSPPH_2464	2	6	1	0
PSPPH_2465	7	15	7	1
PSPPH_2466	3	18	6	1
PSPPH_2467	3	12	4	2
PSPPH_2468	5	8	2	1
PSPPH_2469	31	57	8	3
PSPPH_2470	23	30	26	6
PSPPH_2471	88	134	48	18
PSPPH_2472	8	26	9	0
PSPPH_2473	12	22	1	1
vanB	26	34	8	2
vanA	144	194	26	10
PSPPH_2476	56	59	19	14
PSPPH_2477	163	229	98	39
PSPPH_2478	80	123	46	11
galE	12	15	10	2
PSPPH_2480	4	14	4	0
glf	6	36	6	8
PSPPH_2482	7	16	3	1
PSPPH_2483	80	111	34	19
PSPPH_2484	1	8	0	0
PSPPH_2485	7	41	5	1
PSPPH_2486	12	34	5	5
PSPPH_2487	14	44	22	11
PSPPH_2488	6	22	5	1
PSPPH_2489	21	35	13	1
PSPPH_2490	20	41	11	3
PSPPH_2491	9	16	4	0
argD1	3	7	2	1
PSPPH_2493	137	189	30	10
PSPPH_2494	20	23	5	5
polB	40	58	13	8
PSPPH_2496	7	16	18	4
PSPPH_2497	62	97	34	10
PSPPH_2498	14	35	6	3
PSPPH_2499	23	24	18	6
PSPPH_2500	1	2	0	0
PSPPH_2501	4	11	0	1
PSPPH_2502	1	8	0	0
PSPPH_2503	8	20	1	1
galM	24	35	9	8
PSPPH_2505	7	9	4	1
abP	24	46	8	7
PSPPH_2507	24	43	8	2
araH	14	17	2	1
PSPPH_2509	81	120	56	24
PSPPH_2510	4	11	2	0
PSPPH_2512	3	12	2	0
PSPPH_2513	0	0	0	0
PSPPH_2514	38	69	33	12
PSPPH_2515	22	54	12	8
PSPPH_2516	1	3	0	0
PSPPH_2517	6	12	5	0
PSPPH_2518	0	3	0	0
PSPPH_2519	0	4	0	0
PSPPH_2520	1	21	5	0
PSPPH_2521	13	13	4	1
PSPPH_2522	0	0	1	0
PSPPH_2523	21	23	8	7
PSPPH_2524	1	5	1	0
PSPPH_2525	1	3	1	0
PSPPH_2526	0	2	0	0
PSPPH_2527	0	8	1	0
PSPPH_2528	0	11	0	0
PSPPH_2529	2	3	0	1
PSPPH_2530	6	10	0	0
PSPPH_2531	0	2	0	0
PSPPH_2532	0	4	1	0
PSPPH_2533	0	1	0	0
PSPPH_2534	2	3	1	0
PSPPH_2535	1	3	0	0
PSPPH_2536	0	0	0	0
PSPPH_2537	2	7	2	0
PSPPH_2538	3	9	1	0
PSPPH_2539	42	74	40	12
PSPPH_2540	16	47	9	6
PSPPH_2541	0	0	0	0
PSPPH_2542	3	7	1	0
PSPPH_2543	2	3	3	1
mqo2	622	976	286	121
PSPPH_2546	7	9	12	0
PSPPH_2547	3	11	9	4
PSPPH_2548	17	24	11	8
PSPPH_2549	6	14	6	3
PSPPH_2550	16	22	1	2
PSPPH_2551	33	40	28	12
PSPPH_2552	182	301	112	54
PSPPH_2553	243	313	90	44
PSPPH_2554	63	77	26	13
PSPPH_2555	10	17	3	6
PSPPH_2556	27	35	6	1
PSPPH_2557	4	8	1	1
PSPPH_2558	2	16	1	0
PSPPH_2559	18	28	13	6
ribBA1	22	45	8	5
PSPPH_2561	6	11	3	2
mutT2	15	16	3	4
PSPPH_2563	42	58	28	5
PSPPH_2564	22	32	12	3
PSPPH_2565	54	77	11	6
catD3	21	28	1	2
PSPPH_2567	17	35	8	5
PSPPH_2568	0	0	0	0
fdhA1	10	22	2	2
PSPPH_2570	16	39	14	5
PSPPH_2571	27	68	43	10
gabD2	379	502	134	57
pbpG	57	65	49	19
PSPPH_2574	8	17	20	3
PSPPH_2575	111	115	50	13
PSPPH_2576	47	57	18	7
PSPPH_2577	31	54	28	8
PSPPH_2578	63	89	91	34
PSPPH_2579	25	37	15	6
PSPPH_2580	9	16	8	0
PSPPH_2581	1	5	2	0
PSPPH_2582	26	38	13	4
PSPPH_2583	3	5	7	2
PSPPH_2584	16	18	13	3
PSPPH_2585	398	391	106	37
PSPPH_2587	43	43	27	4
PSPPH_2588	7	21	11	12
PSPPH_2589	41	58	69	31
PSPPH_2590	46	82	19	9
PSPPH_2591	6	26	9	2
mtlZ	139	223	27	16
uxuB/xylB	346	471	81	30
PSPPH_2594	87	107	16	12
PSPPH_2595	28	41	16	6
PSPPH_2596	75	168	32	13
mltR	10	30	14	2
PSPPH_2598	19	36	15	4
PSPPH_2599	35	49	38	9
PSPPH_2600	39	41	30	9
PSPPH_2601	211	360	66	13
cheR2	28	35	22	8
cheB2	11	15	9	5
PSPPH_2604	33	48	31	8
PSPPH_2605	29	38	11	2
PSPPH_2606	69	114	35	15
PSPPH_2607	101	148	51	30
PSPPH_2608	73	115	37	16
PSPPH_2609	99	104	47	19
PSPPH_2610	13	22	14	7
PSPPH_2612	35	62	17	13
PSPPH_2613	35	59	18	6
PSPPH_2614	188	221	43	11
PSPPH_2615	56	73	24	20
PSPPH_2616	117	190	50	24
PSPPH_2617	120	166	63	13
cysI	531	863	657	250
PSPPH_2619	10	9	13	3
metH	175	288	55	21
PSPPH_2621	60	64	26	10
PSPPH_2622	14	18	6	3
PSPPH_2623	73	111	32	18
PSPPH_2624	7	11	5	1
PSPPH_2626	30	31	31	8
PSPPH_2627	25	42	36	13
mvaB	194	286	73	42
PSPPH_2630	50	84	43	23
PSPPH_2631	20	25	2	0
PSPPH_2632	18	31	1	4
PSPPH_2633	12	26	11	3
xth	53	89	27	5
PSPPH_2635	3	16	4	6
PSPPH_2636	20	43	9	2
PSPPH_2637	28	55	13	6
PSPPH_2638	30	27	16	7
tpx	167	194	67	32
mdtA	67	86	27	15
mdtB	80	112	20	8
mdtC	34	40	22	3
PSPPH_2643	41	60	21	10
PSPPH_2644	24	30	11	4
PSPPH_2645	59	80	47	17
PSPPH_2646	56	79	34	22
PSPPH_2647	41	95	30	14
glgB	65	99	27	13
PSPPH_2650	13	25	5	1
PSPPH_2651	6	14	3	1
PSPPH_2652	190	260	66	34
PSPPH_2653	61	94	31	14
PSPPH_2654	42	68	32	12
PSPPH_2655	4	12	1	3
PSPPH_2656	21	24	9	2
PSPPH_2657	19	29	10	3
PSPPH_2658	17	32	7	5
PSPPH_2659	0	1	0	0
PSPPH_2660	20	23	8	3
PSPPH_2661	5	14	6	4
PSPPH_2662	9	9	3	2
PSPPH_2663	7	17	6	1
PSPPH_2664	14	22	3	4
PSPPH_2665	37	49	7	2
PSPPH_2666	47	65	9	6
kdgK	44	47	41	15
PSPPH_2668	47	73	31	15
PSPPH_2669	14	28	23	10
PSPPH_2670	1	10	7	2
PSPPH_2671	55	60	40	34
nrtC	8	13	7	1
PSPPH_2673	1	6	1	0
PSPPH_2674	5	8	4	1
PSPPH_2675	6	14	3	1
PSPPH_2676	20	30	12	3
lexA1	8	16	1	1
PSPPH_2678	6	3	2	0
PSPPH_2679	9	15	6	1
PSPPH_2680	17	40	8	5
PSPPH_2681	1	11	5	1
PSPPH_2682	13	28	8	5
PSPPH_2683	8	17	6	0
PSPPH_2684	21	21	4	4
PSPPH_2685	9	18	7	3
PSPPH_2686	4	22	3	0
proP	4	26	2	3
PSPPH_2688	16	28	3	0
PSPPH_2689	6	23	1	1
PSPPH_2690	149	203	39	8
PSPPH_2691	64	100	38	13
PSPPH_2692	4	12	4	3
PSPPH_2693	12	26	13	14
PSPPH_2694	7	26	0	5
PSPPH_2695	4	8	1	0
PSPPH_2696	0	7	2	2
PSPPH_2697	8	7	8	3
PSPPH_2698	2	8	0	0
PSPPH_2699	10	36	15	4
PSPPH_2700	2	6	1	1
PSPPH_2701	3	11	2	3
PSPPH_2702	7	9	5	4
PSPPH_2703	0	4	0	0
PSPPH_2704	0	18	1	0
PSPPH_2705	3	12	0	0
PSPPH_2706	2	2	1	0
PSPPH_2707	3	16	4	2
PSPPH_2708	0	1	0	0
PSPPH_2709	9	10	0	0
PSPPH_2710	5	10	5	2
PSPPH_2711	1	6	2	1
dcd1	4	6	4	3
PSPPH_2713	14	31	3	3
PSPPH_2714	10	18	2	5
PSPPH_2715	13	20	4	5
PSPPH_2716	17	19	6	2
PSPPH_2717	8	1	2	1
PSPPH_2718	16	26	4	2
PSPPH_2719	6	12	5	1
PSPPH_2720	3	13	7	2
PSPPH_2721	5	1	1	0
PSPPH_2722	2	3	0	1
PSPPH_2723	7	15	1	2
PSPPH_2724	6	11	2	0
PSPPH_2725	11	9	4	0
PSPPH_2726	1	6	0	0
PSPPH_2727	2	8	0	0
PSPPH_2728	5	15	2	1
PSPPH_2730	4	4	5	0
PSPPH_2731	9	17	21	5
calB	48	51	9	7
PSPPH_2733	28	33	11	4
PSPPH_2734	5	6	0	0
PSPPH_2735	6	6	3	0
PSPPH_2736	10	22	1	0
PSPPH_2737	1	9	1	1
PSPPH_2738	6	14	3	0
PSPPH_2739	3	5	1	0
PSPPH_2740	6	16	3	2
PSPPH_2741	1	3	0	0
PSPPH_2742	3	19	2	1
dppB	3	11	2	1
PSPPH_2744	1	3	1	0
PSPPH_2745	0	10	2	2
PSPPH_2746	3	7	0	2
PSPPH_2747	3	6	2	0
PSPPH_2748	1	11	0	1
PSPPH_2749	36	63	15	2
PSPPH_2750	7	32	6	3
PSPPH_2751	9	19	5	4
PSPPH_2752	6	9	4	1
PSPPH_2753	1	16	0	0
PSPPH_2754	15	22	3	1
PSPPH_2755	6	8	1	0
PSPPH_2756	36	50	17	8
cbrA	22	50	8	7
cbrB	21	39	7	6
cbrC	18	23	4	3
cbrD	21	34	8	4
PSPPH_2761	21	33	5	1
PSPPH_2762	9	17	0	0
PSPPH_2763	2	11	4	0
PSPPH_2764	4	22	3	0
PSPPH_2766	49	59	21	12
PSPPH_2767	0	2	0	0
PSPPH_2768	4	13	3	0
PSPPH_2769	0	6	1	2
PSPPH_2770	0	5	3	0
PSPPH_2771	6	10	8	1
