Gene	WT-1	WT-2	rhpS-1	rhpS-2
thrB	110	154	36	13
znuA	65	79	36	9
PSPPH_0263	26	22	12	4
znuC	22	47	12	5
znuB	11	20	4	3
PSPPH_0266	46	75	54	28
katE	37	68	23	5
PSPPH_0268	88	122	35	26
PSPPH_0269	35	37	4	3
PSPPH_0270	60	87	19	13
PSPPH_0271	17	27	15	4
PSPPH_0272	3	9	6	2
PSPPH_0273	18	33	70	20
PSPPH_0274	143	210	50	22
cynT	190	262	74	30
PSPPH_0276	42	67	29	26
elbB	29	63	12	3
PSPPH_0278	35	50	26	5
hemB	128	197	78	30
ppk	283	425	192	81
ppx	210	258	50	27
PSPPH_0282	9	25	5	3
PSPPH_0283	3	13	3	0
PSPPH_0284	2	11	1	2
PSPPH_0285	3	18	5	0
PSPPH_0286	17	20	2	1
trxA	131	162	63	22
rho	376	590	205	110
ubiD	192	249	54	22
PSPPH_0290	62	111	16	13
PSPPH_0291	36	61	7	5
glpT	13	34	7	3
PSPPH_0293	2	5	1	0
PSPPH_0294	3	8	1	0
PSPPH_0295	10	19	2	0
PSPPH_0296	5	24	0	2
qor2	30	46	6	2
PSPPH_0299	38	61	10	3
PSPPH_0300	26	36	11	4
PSPPH_0301	8	11	19	5
PSPPH_0302	32	54	22	11
PSPPH_0303	50	82	25	13
PSPPH_0304	15	17	16	4
PSPPH_0305	68	85	35	15
pepP	96	116	29	21
ubiH	113	136	23	8
PSPPH_0308	95	134	24	11
PSPPH_0310	6	11	4	1
PSPPH_0311	4	8	8	0
PSPPH_0312	5	10	2	1
PSPPH_0313	111	191	11	10
PSPPH_0314	27	53	13	5
PSPPH_0315	4	24	1	0
PSPPH_0316	21	52	5	5
PSPPH_0317	43	66	10	11
PSPPH_0318	29	54	14	8
PSPPH_0319	14	29	5	5
PSPPH_0320	8	11	5	1
PSPPH_0321	1	10	2	2
PSPPH_0322	1	13	0	0
PSPPH_0323	4	15	9	1
PSPPH_0324	16	18	8	2
PSPPH_0325	38	40	22	6
PSPPH_0326	3	21	3	2
PSPPH_0327	78	107	40	8
PSPPH_0328	59	97	26	5
PSPPH_0329	149	199	41	19
PSPPH_0330	22	36	7	2
PSPPH_0331	19	36	6	1
PSPPH_0332	10	11	1	0
PSPPH_0333	7	13	2	1
PSPPH_0334	5	12	0	1
PSPPH_0335	8	14	1	2
PSPPH_0336	0	7	1	0
PSPPH_0337	1	17	2	1
PSPPH_0338	2	13	2	1
PSPPH_0339	1	1	0	0
glnQ1	59	95	10	2
PSPPH_0341	51	74	3	2
PSPPH_0342	144	222	35	8
dcyD	94	125	34	16
PSPPH_0344	128	188	18	16
PSPPH_0345	35	58	43	39
PSPPH_0346	21	17	2	1
nhaA1	25	40	4	0
PSPPH_0348	45	37	10	0
hutC	68	105	6	10
hutF	691	876	16	12
blc	113	162	56	17
PSPPH_0352	33	51	23	8
fbp	239	320	81	29
PSPPH_0354	84	145	27	13
PSPPH_0355	29	63	15	4
glgP	421	590	145	68
pip	131	185	54	28
dtd	25	40	4	1
mdoG1	545	791	172	95
mdoH	470	656	101	50
PSPPH_0361	2	18	7	2
PSPPH_0362	8	25	4	3
PSPPH_0363	17	43	28	14
PSPPH_0364	18	31	9	10
tatC	59	83	19	17
tatB	69	71	26	12
tatA	74	69	36	12
hisE	35	67	23	8
hisI	85	97	34	20
ubiB	62	92	33	6
PSPPH_0371	26	46	14	12
ubiE	84	123	45	11
PSPPH_0373	14	28	8	3
PSPPH_0374	123	132	43	18
PSPPH_0375	437	526	106	83
phaD	22	22	9	5
PSPPH_0377	29	69	21	7
phaZ	56	48	15	9
PSPPH_0379	100	146	51	18
PSPPH_0380	41	53	19	6
hslU	2345	3339	426	195
hslV	1061	1491	114	93
PSPPH_0383	96	148	45	29
argS	266	361	70	34
priA	38	54	10	3
